label,independent_variable,n,coefficient,standard_error,pvalue,CI95_low,CI95_high,r_squared
Confirmed cases,US_daily_covid_confirm,711,-0.005671518216600974,0.007736041569511313,0.4637271694771944,-0.02086037025792155,0.009517333824719603,0.6293238369634011
COVID-19 deaths,US_daily_covid_death,711,-0.04025882878261208,0.010610885626513198,0.00016110723456130106,-0.061092115465515094,-0.01942554209970907,0.6365750757276665
