date,climate_only_comments,covid_only_comments,co_mention_comments,total_comments,co_mention_share_pct,US_daily_covid_death,climate_ma7,deaths_ma7
2020-01-21,3229,664,6,3899,0.1854714064914992,0,3229.0,0.0
2020-01-22,3804,957,21,4782,0.5490196078431373,0,3516.5,0.0
2020-01-23,3003,2081,13,5097,0.4310344827586206,0,3345.3333333333335,0.0
2020-01-24,3192,3413,17,6622,0.5297600498597694,0,3307.0,0.0
2020-01-25,2264,4379,18,6661,0.7887817703768624,0,3098.4,0.0
2020-01-26,2042,4906,28,6976,1.352657004830918,0,2922.3333333333335,0.0
2020-01-27,2412,5318,30,7760,1.2285012285012284,0,2849.4285714285716,0.0
2020-01-28,2486,5502,33,8021,1.310043668122271,0,2743.285714285714,0.0
2020-01-29,2685,4675,27,7387,0.995575221238938,0,2583.4285714285716,0.0
2020-01-30,2613,5581,34,8228,1.2844729882886283,0,2527.714285714286,0.0
2020-01-31,2283,5996,31,8310,1.3396715643906656,0,2397.8571428571427,0.0
2020-02-01,1948,4724,22,6694,1.116751269035533,0,2352.714285714286,0.0
2020-02-02,1864,4124,17,6005,0.9037745879851145,0,2327.285714285714,0.0
2020-02-03,2197,3988,18,6203,0.8126410835214447,0,2296.5714285714284,0.0
2020-02-04,2476,3953,17,6446,0.681909346169274,0,2295.1428571428573,0.0
2020-02-05,2339,3770,16,6125,0.6794055201698515,0,2245.714285714286,0.0
2020-02-06,2179,3739,20,5938,0.9095043201455209,0,2183.714285714286,0.0
2020-02-07,2560,4201,17,6778,0.6596818005432673,0,2223.285714285714,0.0
2020-02-08,2650,3287,21,5958,0.786222388618495,0,2323.5714285714284,0.0
2020-02-09,2233,3227,18,5478,0.7996446023989338,0,2376.285714285714,0.0
2020-02-10,2570,4028,21,6619,0.8104978772674644,0,2429.5714285714284,0.0
2020-02-11,2546,3918,29,6493,1.1262135922330097,0,2439.5714285714284,0.0
2020-02-12,3034,3832,25,6891,0.8172605426610003,0,2538.8571428571427,0.0
2020-02-13,2924,4033,23,6980,0.7804546996946047,0,2645.285714285714,0.0
2020-02-14,2489,3513,24,6026,0.955033824114604,0,2635.1428571428573,0.0
2020-02-15,2131,3098,22,5251,1.0218300046446818,0,2561.0,0.0
2020-02-16,2153,3219,25,5397,1.147842056932966,0,2549.5714285714284,0.0
2020-02-17,2687,3777,27,6491,0.9948415622697124,0,2566.285714285714,0.0
2020-02-18,3375,3505,19,6899,0.5598114319387153,0,2684.714285714286,0.0
2020-02-19,2765,3171,17,5953,0.6110711718188354,0,2646.285714285714,0.0
2020-02-20,2789,3390,19,6198,0.6766381766381766,0,2627.0,0.0
2020-02-21,2417,4372,25,6814,1.0237510237510237,0,2616.714285714286,0.0
2020-02-22,2077,4492,13,6582,0.6220095693779905,0,2609.0,0.0
