measurement,metric,label,direction,specification,dependent_variable,predictor_variable,n,selected_p,selected_q,candidate_models_fitted,bic,aic,bounds_f,pss_case,pss_k,pss_n,pss_covariance,pss_core_fixed_controls,pss_critical_value_method,pss_90_lower,pss_90_upper,pss_95_lower,pss_95_upper,pss_99_lower,pss_99_upper,pss_95_decision,ecm_coefficient,ecm_hac_se,ecm_pvalue,short_run_coefficient,short_run_hac_se,short_run_ci95_low,short_run_ci95_high,short_run_pvalue,long_run_coefficient,long_run_hac_se,long_run_ci95_low,long_run_ci95_high,long_run_pvalue,ljung_box_p_lag7,ljung_box_p_lag14,ljung_box_p_lag30,arch_lm_pvalue_lag7,jarque_bera_pvalue,cusum_pvalue,minimum_root_modulus,inference
NRC Emotion Lexicon,anger,Anger,COVID-to-climate,ECM,climate_anger_score_freq,covid_anger_score_freq,705,2,1,36,1790.4721906615139,1667.4008499855827,83.0355225377253,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.7015781153668486,0.053538895766772086,3.8778507120123953e-35,0.14394243380332206,0.05054556044689895,0.044873135327400115,0.243011732279244,0.004535693606983502,0.1322650323026268,0.05466878370919649,0.02511421623260167,0.2394158483726519,0.015546621667837844,0.32299811702422,0.631788685956009,0.38803642935501587,1.3683361807215463e-05,2.106804535168683e-05,0.7441027377291489,2.123810736381633,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,anger,Anger,climate-to-COVID,ECM,covid_anger_score_freq,climate_anger_score_freq,705,2,1,36,1324.313220097163,1201.2418794212317,29.458574268719236,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.277666491141486,0.06591834196942167,2.8692018618641753e-05,0.07179279997493043,0.026854499717041652,0.019157980529528794,0.12442761942033206,0.0076891438139976955,0.16678543049312436,0.11337305871548618,-0.05542576458922854,0.38899662557547726,0.14125853275247308,0.0009601586535359552,7.66153154083203e-05,0.00010307438806698322,1.423961110234392e-08,6.108711085110504e-253,0.9934725789329545,1.3037219634352957,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,sadness,Sadness,COVID-to-climate,ECM,climate_sadness_score_freq,covid_sadness_score_freq,705,2,1,36,1900.251987865712,1777.1806471897808,80.00071427107467,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.6731007200047968,0.04988188086011404,6.201923417741467e-37,0.19089897403961542,0.08253771575547955,0.02912505115887551,0.3526728969203553,0.021027831875905865,0.31425706805436415,0.09917446748281664,0.11987511178804355,0.5086390243206848,0.00153106779048291,0.9119290409969458,0.974890802778097,0.8473588572350091,4.864974024206184e-05,6.8391436988554405e-12,0.853714229380163,2.15139440849991,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,sadness,Sadness,climate-to-COVID,ECM,covid_sadness_score_freq,climate_sadness_score_freq,705,3,1,36,1145.1168622047978,1017.4873237260543,28.81280870123125,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.26531294644649966,0.03948176533924344,3.857916537144978e-11,0.06279210802029964,0.030540128692825127,0.0029334557823623916,0.12265076025823687,0.040159753450943296,0.34856642148335176,0.10665397392518766,0.13952463258998396,0.5576082103767196,0.0010823419747386879,0.039212161799061444,0.020185467766349014,0.04088133659843798,1.9052668707153884e-07,0.0,0.8578043723222837,1.2416003239338107,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,fear,Fear,COVID-to-climate,ECM,climate_fear_score_freq,covid_fear_score_freq,705,4,1,36,1662.2251591207284,1530.0374228391727,21.861790508038954,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.44806297400304507,0.05630377032373077,7.375225931324346e-15,0.276586648456504,0.12996569589509077,0.02185388450212611,0.5313194124108819,0.033685132872009485,0.28943413072764507,0.14153172432729996,0.012031951046137135,0.5668363104091529,0.04085363598587213,0.9968590053348267,0.7789640737028436,0.8436052780670305,3.402357463435146e-06,9.30642536517272e-28,0.9956284957746954,1.3198352235631454,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,fear,Fear,climate-to-COVID,ECM,covid_fear_score_freq,climate_fear_score_freq,705,2,1,36,49.36811309867407,-73.70322757725718,20.400155745345494,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.2106671558822935,0.02820863665229043,2.505543960180885e-13,0.024528580013950713,0.011331139717234444,0.0023195461681712014,0.04673761385973023,0.030758001443428468,0.0556229435509943,0.06087216214125921,-0.06368649424587376,0.17493238134786238,0.3608395440374903,0.09437423846264381,0.028018220215461773,0.023346752820020758,1.3729689435570432e-14,0.0,0.9885106044280303,1.225655295941974,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,disgust,Disgust,COVID-to-climate,ECM,climate_disgust_score_freq,covid_disgust_score_freq,705,1,1,36,1979.8235964617324,1861.3104535886134,201.24215296062664,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.794848049843676,0.04541759973039804,6.774654782107497e-57,0.27021855368734066,0.08933183991656526,0.09512814745087275,0.4453089599238086,0.0025810316582823584,0.375340037206567,0.10189870822610364,0.17561856908340387,0.5750615053297301,0.00023008744122923842,0.02742092940653576,0.04092597192505854,0.16085551434721562,0.021329985163821556,9.086234638413592e-09,0.6155304808156327,4.874435749881969,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,disgust,Disgust,climate-to-COVID,ECM,covid_disgust_score_freq,climate_disgust_score_freq,705,3,1,36,659.4134341597537,531.7838956810101,14.458249764157568,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.24096236791181866,0.0349970985627736,1.3172708217591693e-11,0.040880910632985094,0.018005824098399053,0.0055894954001229485,0.07617232586584724,0.023494623622208458,0.149243303808087,0.06580307984234639,0.020269267317088085,0.27821734029908596,0.023327429522039228,0.4626184642240816,0.5472341224046152,0.652791366450327,0.2467738810841515,0.0,0.9768868111591867,1.1980631983109835,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,joy,Joy,COVID-to-climate,ECM,climate_joy_score_freq,covid_joy_score_freq,705,2,1,36,2026.3896042411106,1903.3182635651794,83.03407074023373,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.6335343534292088,0.07032556583463788,2.0893699494856292e-18,0.1848678839098007,0.15081047653736734,-0.11072065010343929,0.48045641792304067,0.2206879443094558,0.05121223517317804,0.2246970012562483,-0.3891938872890687,0.4916183576354247,0.8197108745870858,0.8927466976746973,0.950873218326246,0.7827043888618088,0.9653019153154813,7.228065067069812e-114,0.9286814172090008,2.0150329776936817,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,joy,Joy,climate-to-COVID,ECM,covid_joy_score_freq,climate_joy_score_freq,705,3,1,36,-21.457819818717354,-149.0873582974609,4.741289879392762,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,below_lower_bound,-0.21556630351788972,0.028522031985557868,1.3327813742450672e-13,0.008204422795661586,0.00881249933547031,-0.009068075901860219,0.02547692149318339,0.3521857669616435,0.03471144155325725,0.052294823906501996,-0.06778641330348667,0.13720929641000115,0.5068411246090452,0.2590311024991916,0.28387911765989726,0.7122911000637132,1.0274538797217363e-07,4.9880275286211636e-05,0.9141610727436538,1.1757905018929466,exact two-sided Newey-West HAC(7) p values reported
NRC Emotion Lexicon,anticipation,Anticipation,COVID-to-climate,ECM,climate_anticipation_score_freq,covid_anticipation_score_freq,705,4,1,36,2042.5167525475915,1910.3290162660358,40.92546838307085,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641985,above_upper_bound,-0.5193801848384197,0.06546913224226593,8.853043240388818e-15,0.1872242320038947,0.10899613975683779,-0.02640820191950735,0.40085666592729674,0.08630601614309148,0.07846622445934646,0.1795270461449409,-0.27340678598473767,0.4303392349034306,0.6620592162210761,0.9052116765885411,0.959355346710029,0.79122189104773,0.0072322097631958284,2.0001148706221574e-28,0.9706528215468564,1.3520700769746723,exact two-sided Newey-West HAC(7) p values reported
