date,climate_only_comments,covid_only_comments,co_mention_comments,total_comments,co_mention_share_pct,US_daily_covid_death
2020-04-26,1254,36842,150,38246,10.683760683760683,2103
2020-04-27,1179,41539,157,42875,11.751497005988023,1892
2020-04-28,1365,42335,220,43920,13.880126182965299,1535
2020-04-29,1291,42447,162,43900,11.149346180316586,1489
2020-04-30,1590,43213,210,45013,11.666666666666666,2111
2020-05-01,1375,40525,157,42057,10.248041775456919,2417
2020-05-02,1005,32533,125,33663,11.061946902654867,2238
2020-05-03,1101,35035,146,36282,11.708099438652766,1953
2020-05-04,1128,39307,171,40606,13.163972286374134,1609
2020-05-05,1348,40624,166,42138,10.96433289299868,1412
2020-05-06,1276,39889,179,41344,12.302405498281786,1271
2020-05-07,1268,40325,158,41751,11.079943899018232,2434
2020-05-08,1154,38493,154,39801,11.773700305810397,2341
2020-05-09,1402,34876,151,36429,9.723116548615582,2033
2020-05-10,1225,34729,152,36106,11.038489469862018,1658
2020-05-11,1335,37613,162,39110,10.821643286573146,1491
2020-05-12,1342,39769,140,41251,9.446693657219974,1073
2020-05-13,1373,41114,173,42660,11.190168175937904,1034
2020-05-14,1328,42478,172,43978,11.466666666666667,1533
2020-05-15,1367,40731,177,42275,11.463730569948186,1507
2020-05-16,1110,33027,120,34257,9.75609756097561,1943
2020-05-17,1149,33170,146,34465,11.274131274131275,1549
2020-05-18,1302,39122,153,40577,10.515463917525773,1239
2020-05-19,1376,37379,167,38922,10.823071937783538,927
2020-05-20,1182,35600,178,36960,13.088235294117649,946
2020-05-21,1243,38229,169,39641,11.968838526912181,1179
2020-05-22,1131,35776,163,37070,12.59659969088099,1374
2020-05-23,1120,30655,125,31900,10.040160642570282,1083
2020-05-24,1103,32335,127,33565,10.325203252032521,1810
2020-05-25,1121,33620,161,34902,12.558502340093602,937
2020-05-26,1532,36866,162,38560,9.563164108618654,788
2020-05-27,1291,34857,137,36285,9.593837535014007,687
2020-05-28,1179,35532,120,36831,9.237875288683602,811
2020-05-29,974,32252,167,33393,14.636283961437336,1285
2020-05-30,933,27673,95,28701,9.241245136186771,1251
2020-05-31,967,31382,126,32475,11.527904849039341,1051
2020-06-01,1112,34885,125,36122,10.105092966855295,906
2020-06-02,1132,33265,152,34549,11.838006230529595,673
2020-06-03,1186,34442,158,35786,11.755952380952381,691
2020-06-04,1196,34315,125,35636,9.462528387585163,934
2020-06-05,1176,32640,133,33949,10.16042780748663,1022
2020-06-06,891,26855,115,27861,11.43141153081511,885
2020-06-07,1071,26620,81,27772,7.03125,876
2020-06-08,1095,30868,113,32076,9.35430463576159,669
2020-06-09,1187,28744,112,30043,8.622016936104696,593
2020-06-10,1180,28800,129,30109,9.854851031321619,776
2020-06-11,1018,28746,110,29874,9.75177304964539,827
2020-06-12,1101,27905,103,29109,8.554817275747508,882
2020-06-13,887,25076,86,26049,8.83864337101747,888
2020-06-14,990,23556,92,24638,8.502772643253234,735
2020-06-15,1096,28991,120,30207,9.868421052631579,685
2020-06-16,1178,30940,107,32225,8.326848249027236,489
2020-06-17,1372,31147,101,32620,6.8567549219280375,525
2020-06-18,1178,28995,144,30317,10.892586989409985,674
2020-06-19,1420,30880,152,32452,9.669211195928753,684
2020-06-20,1039,27809,130,28978,11.120615911035072,643
2020-06-21,1449,27980,139,29568,8.753148614609572,755
2020-06-22,1538,30653,183,32374,10.63335270191749,576
2020-06-23,1550,33168,165,34883,9.620991253644315,413
2020-06-24,1499,35165,146,36810,8.875379939209726,415
2020-06-25,1437,36523,170,38130,10.578718108276291,746
2020-06-26,1483,38966,181,40630,10.877403846153847,692
2020-06-27,1157,33960,172,35289,12.942061700526711,2533
2020-06-28,1131,32174,140,33445,11.014948859166012,706
2020-06-29,1274,35442,159,36875,11.095603628750872,593
2020-06-30,1678,37873,201,39752,10.697179350718468,439
2020-07-01,1657,37939,181,39777,9.84766050054407,461
2020-07-02,1241,39943,183,41367,12.851123595505618,662
2020-07-03,1343,36693,160,38196,10.645375914836992,782
2020-07-04,1341,31154,151,32646,10.120643431635388,704
2020-07-05,1259,30860,138,32257,9.87831066571224,810
2020-07-06,1292,38517,163,39972,11.202749140893472,539
2020-07-07,1341,41382,155,42878,10.36096256684492,460
2020-07-08,1698,45055,211,46964,11.05290728129911,598
2020-07-09,1536,41108,171,42815,10.017574692442881,928
2020-07-10,1440,42133,201,43774,12.248628884826324,1079
2020-07-11,1187,36224,165,37576,12.20414201183432,961
2020-07-12,1155,37829,147,39131,11.29032258064516,964
2020-07-13,1309,43860,189,45358,12.616822429906541,889
2020-07-14,1604,46832,210,48646,11.57662624035281,840
2020-07-15,1654,45319,224,47197,11.92758253461129,731
2020-07-16,1531,45423,241,47195,13.600451467268623,914
