date,family,measure,group,group_key,score_percent,n_comments
2020-04-05,NRC,Sadness,Climate-only,climate,1.742193869786605,1117
2020-04-06,NRC,Sadness,Climate-only,climate,1.7061187123173196,1111
2020-04-07,NRC,Sadness,Climate-only,climate,1.746060632989292,1054
2020-04-08,NRC,Sadness,Climate-only,climate,1.8532112670702316,2008
2020-04-09,NRC,Sadness,Climate-only,climate,1.921287078622523,1720
2020-04-10,NRC,Sadness,Climate-only,climate,1.7334333730842175,1374
2020-04-11,NRC,Sadness,Climate-only,climate,1.843242802624444,1272
2020-04-12,NRC,Sadness,Climate-only,climate,1.862959684263315,1199
2020-04-13,NRC,Sadness,Climate-only,climate,1.7011248406112855,1729
2020-04-14,NRC,Sadness,Climate-only,climate,1.7300519830831371,1869
2020-04-15,NRC,Sadness,Climate-only,climate,1.8868736288312573,1567
2020-04-16,NRC,Sadness,Climate-only,climate,1.6239669047728138,1450
2020-04-17,NRC,Sadness,Climate-only,climate,1.715584085364017,1421
2020-04-18,NRC,Sadness,Climate-only,climate,1.7526028888786729,1127
2020-04-19,NRC,Sadness,Climate-only,climate,1.665400978553182,1168
2020-04-20,NRC,Sadness,Climate-only,climate,1.5776989188624566,1404
2020-04-21,NRC,Sadness,Climate-only,climate,1.6378165076463962,1428
2020-04-22,NRC,Sadness,Climate-only,climate,1.6089544975853034,1823
2020-04-23,NRC,Sadness,Climate-only,climate,1.6542775742387197,1658
2020-04-24,NRC,Sadness,Climate-only,climate,1.7081262284241838,1512
2020-04-25,NRC,Sadness,Climate-only,climate,1.7210079663126312,1272
2020-04-26,NRC,Sadness,Climate-only,climate,1.573003197194751,1254
2020-04-27,NRC,Sadness,Climate-only,climate,1.7058060997278313,1179
2020-04-28,NRC,Sadness,Climate-only,climate,1.5819350974808926,1365
2020-04-29,NRC,Sadness,Climate-only,climate,1.6623759677496563,1291
2020-04-30,NRC,Sadness,Climate-only,climate,1.5436714664809457,1590
2020-05-01,NRC,Sadness,Climate-only,climate,1.688780385915175,1375
2020-05-02,NRC,Sadness,Climate-only,climate,1.6917607723005288,1005
2020-05-03,NRC,Sadness,Climate-only,climate,1.6735515289932898,1101
2020-05-04,NRC,Sadness,Climate-only,climate,1.7005796435442675,1128
2020-05-05,NRC,Sadness,Climate-only,climate,1.6798397974084782,1348
2020-05-06,NRC,Sadness,Climate-only,climate,1.777121403231581,1276
2020-05-07,NRC,Sadness,Climate-only,climate,1.7206429546454438,1268
2020-05-08,NRC,Sadness,Climate-only,climate,1.7304091120816203,1154
2020-05-09,NRC,Sadness,Climate-only,climate,1.5580375542278682,1402
2020-05-10,NRC,Sadness,Climate-only,climate,1.6634984977980944,1225
2020-05-11,NRC,Sadness,Climate-only,climate,1.687923782891715,1335
2020-05-12,NRC,Sadness,Climate-only,climate,1.5588227876193772,1342
2020-05-13,NRC,Sadness,Climate-only,climate,1.691132339701302,1373
2020-05-14,NRC,Sadness,Climate-only,climate,1.4817616154414743,1328
2020-05-15,NRC,Sadness,Climate-only,climate,1.7108488997953175,1367
2020-05-16,NRC,Sadness,Climate-only,climate,1.641223505969841,1110
2020-05-17,NRC,Sadness,Climate-only,climate,1.5932561042153404,1149
2020-05-18,NRC,Sadness,Climate-only,climate,1.7296472974872237,1302
2020-05-19,NRC,Sadness,Climate-only,climate,1.7442334840806937,1376
2020-05-20,NRC,Sadness,Climate-only,climate,1.5743022655927923,1182
2020-05-21,NRC,Sadness,Climate-only,climate,1.7383836179596497,1243
2020-05-22,NRC,Sadness,Climate-only,climate,1.637371569887366,1131
2020-05-23,NRC,Sadness,Climate-only,climate,1.6427923514777398,1120
2020-05-24,NRC,Sadness,Climate-only,climate,1.6882165012253365,1103
2020-05-25,NRC,Sadness,Climate-only,climate,1.7054228354869847,1121
2020-05-26,NRC,Sadness,Climate-only,climate,1.608790126083135,1532
2020-05-27,NRC,Sadness,Climate-only,climate,1.72788220574363,1291
2020-05-28,NRC,Sadness,Climate-only,climate,1.6189857642413787,1179
2020-05-29,NRC,Sadness,Climate-only,climate,1.7522230470995706,974
2020-05-30,NRC,Sadness,Climate-only,climate,1.804650124914068,933
2020-05-31,NRC,Sadness,Climate-only,climate,1.7984228791047188,967
2020-06-01,NRC,Sadness,Climate-only,climate,1.673972209600145,1112
2020-06-02,NRC,Sadness,Climate-only,climate,1.7332993958483816,1132
2020-06-03,NRC,Sadness,Climate-only,climate,1.6887534078190305,1186
2020-06-04,NRC,Sadness,Climate-only,climate,1.695664837779702,1196
2020-06-05,NRC,Sadness,Climate-only,climate,1.723760837807565,1176
2020-06-06,NRC,Sadness,Climate-only,climate,1.6437251062429603,891
2020-06-07,NRC,Sadness,Climate-only,climate,1.6365961408107264,1071
2020-06-08,NRC,Sadness,Climate-only,climate,1.7329605938458978,1095
2020-06-09,NRC,Sadness,Climate-only,climate,1.6306574511096132,1187
2020-06-10,NRC,Sadness,Climate-only,climate,1.7664066928388995,1180
2020-06-11,NRC,Sadness,Climate-only,climate,1.618842839788638,1018
2020-06-12,NRC,Sadness,Climate-only,climate,1.5925147213567397,1101
2020-06-13,NRC,Sadness,Climate-only,climate,1.7448879145520415,887
2020-06-14,NRC,Sadness,Climate-only,climate,1.692995414915766,990
2020-06-15,NRC,Sadness,Climate-only,climate,1.719272547422254,1096
2020-06-16,NRC,Sadness,Climate-only,climate,1.7490644773535198,1178
2020-06-17,NRC,Sadness,Climate-only,climate,1.64913455543643,1372
2020-06-18,NRC,Sadness,Climate-only,climate,1.5524668653317208,1178
2020-06-19,NRC,Sadness,Climate-only,climate,1.7396706091084824,1420
2020-06-20,NRC,Sadness,Climate-only,climate,1.6871362677120754,1039
2020-06-21,NRC,Sadness,Climate-only,climate,1.6038038150735423,1449
2020-06-22,NRC,Sadness,Climate-only,climate,1.6652111301945869,1538
2020-06-23,NRC,Sadness,Climate-only,climate,1.7812937815819256,1550
2020-06-24,NRC,Sadness,Climate-only,climate,1.6827604797662752,1499
2020-06-25,NRC,Sadness,Climate-only,climate,1.636221658586387,1437
