measurement,metric,label,direction,n,selected_p,selected_q,bounds_f,pss_case,pss_k,pss_n,pss_covariance,pss_core_fixed_controls,pss_critical_value_method,pss_90_lower,pss_90_upper,pss_95_lower,pss_95_upper,pss_99_lower,pss_99_upper,pss_95_decision,ecm_coefficient,ecm_hac_se,ecm_pvalue,bic,aic
NRC Emotion Lexicon,surprise,Surprise,climate-to-COVID,705,2,1,30.185468584711543,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.3643212013915737,0.0528212867077077,1.2157210978900404e-11,1440.6201379249349,1317.5487972490037
NRC Emotion Lexicon,negative,Negative emotion,COVID-to-climate,705,4,1,32.12044102600589,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.5066849689346632,0.0868457407839125,8.37228193069178e-09,1835.2348177675929,1703.047081486037
NRC Emotion Lexicon,negative,Negative emotion,climate-to-COVID,705,2,1,24.165330825461652,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.2525189700915242,0.0296423928397282,1.0368011660471363e-16,346.0914307102123,223.02009003428108
NRC Emotion Lexicon,positive,Positive emotion,COVID-to-climate,705,4,1,27.59087491849873,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.4374237186222989,0.0535125267076276,1.4665603259878409e-15,1768.2660157880734,1636.0782795065177
NRC Emotion Lexicon,positive,Positive emotion,climate-to-COVID,705,2,1,7.747536484291658,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.2554382231852886,0.0467959141411654,6.735892345662576e-08,202.23867635363524,79.167335677704
LIWC-22,emo_anger,Anger,COVID-to-climate,705,1,1,246.59969878699476,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.8785169932408126,0.0382076769037519,5.376804662845644e-87,2022.171133294395,1903.657990421276
LIWC-22,emo_anger,Anger,climate-to-COVID,705,4,1,8.126023127704132,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.2091906746872338,0.0816423662157359,0.0106139505181348,648.4293366337953,516.2416003522394
LIWC-22,emo_sad,Sadness,COVID-to-climate,705,1,1,301.88090204843155,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-1.006811829111762,0.0443310455514572,2.0725296006792076e-85,2064.989866431034,1946.4767235579152
LIWC-22,emo_sad,Sadness,climate-to-COVID,705,2,1,17.603679050390678,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.5753698538250704,0.0626950722235625,5.238472211278454e-19,890.3905096909305,767.3191690149991
LIWC-22,emo_anx,Anxiety,COVID-to-climate,705,1,1,214.95067671310215,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.8443526191034401,0.0429507470052451,1.80508099743877e-68,1978.1624337285805,1859.6492908554612
LIWC-22,emo_anx,Anxiety,climate-to-COVID,705,3,1,11.817227769589888,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.2845601056333182,0.0484394892271332,6.645065920217611e-09,75.29386309598222,-52.33567538276132
LIWC-22,emo_neg,Negative emotion,COVID-to-climate,705,1,1,264.7851610065743,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.9223818554156276,0.0444491866984184,1.782663480194325e-74,2087.979152073535,1969.466009200416
LIWC-22,emo_neg,Negative emotion,climate-to-COVID,705,3,1,24.66807388695146,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.2328604294548688,0.038810638331055,3.2133990802419492e-09,1166.290982482319,1038.661444003575
LIWC-22,emo_pos,Positive emotion,COVID-to-climate,705,1,1,225.47504761313877,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.8262956321398988,0.0544385080006307,4.9909108225498914e-45,2097.0689922390416,1978.5558493659223
LIWC-22,emo_pos,Positive emotion,climate-to-COVID,705,6,1,3.912520916727832,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,below_lower_bound,-0.1975146652175527,0.0398483161574774,9.079154263372902e-07,317.8899785840403,176.58584669685996
VADER,negative,Negative sentiment,COVID-to-climate,705,2,1,69.22198032633476,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.5977758888876539,0.0573949604136521,1.147667856888759e-23,1823.6695615850977,1700.5982209091665
VADER,negative,Negative sentiment,climate-to-COVID,705,2,1,19.572700880775685,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.1807519069232275,0.0417547099792821,1.724315960465792e-05,580.1213159371177,457.0499752611864
VADER,positive,Positive sentiment,COVID-to-climate,705,4,1,32.328007760953504,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.4832216782584259,0.0842849001272865,1.4849459289117331e-08,1872.4521578449296,1740.2644215633738
VADER,positive,Positive sentiment,climate-to-COVID,705,2,1,6.511849665783203,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,below_lower_bound,-0.2325257485329045,0.0338850621153042,1.5301055353503428e-11,-236.6486049788242,-359.71994565475546
