measurement,metric,label,direction,n_max6_hb14,selected_p_max6_hb14,selected_q_max6_hb14,bic_max6_hb14,ecm_coefficient_max6_hb14,ecm_pvalue_max6_hb14,short_run_coefficient_max6_hb14,short_run_pvalue_max6_hb14,long_run_coefficient_max6_hb14,long_run_pvalue_max6_hb14,n_max14_hb14,selected_p_max14_hb14,selected_q_max14_hb14,bic_max14_hb14,ecm_coefficient_max14_hb14,ecm_pvalue_max14_hb14,short_run_coefficient_max14_hb14,short_run_pvalue_max14_hb14,long_run_coefficient_max14_hb14,long_run_pvalue_max14_hb14,short_run_sign_same,short_run_significant_max6_hb14,short_run_significant_max14_hb14,short_run_significance_same,short_run_coefficient_change,short_run_absolute_change,long_run_sign_same,long_run_significant_max6_hb14,long_run_significant_max14_hb14,long_run_significance_same,long_run_coefficient_change,long_run_absolute_change,selected_p_same,selected_q_same
NRC Emotion Lexicon,trust,Trust,climate-to-COVID,697,3,1,673.4320903469784,-0.3324129725297556,2.5758560654128057e-08,0.04983598064238842,0.018808183841206156,0.15106025700155423,0.09032016436909143,697,3,1,673.4320903469784,-0.3324129725297556,2.5758560654128057e-08,0.04983598064238842,0.018808183841206156,0.15106025700155423,0.09032016436909143,True,True,True,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
NRC Emotion Lexicon,surprise,Surprise,COVID-to-climate,697,2,1,1815.486061434479,-0.651736104708259,4.234682676101381e-30,0.12792376458107457,0.0875499740275303,0.21312690824337832,0.016689862365439578,697,2,1,1815.486061434479,-0.651736104708259,4.234682676101381e-30,0.12792376458107457,0.0875499740275303,0.21312690824337832,0.016689862365439578,True,False,False,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
NRC Emotion Lexicon,surprise,Surprise,climate-to-COVID,697,2,1,1408.2181350434303,-0.35440992413966854,2.0137813963354192e-11,0.06793988354795708,0.10638633910069442,0.2068744054320915,0.25592074649386654,697,2,1,1408.2181350434303,-0.35440992413966854,2.0137813963354192e-11,0.06793988354795708,0.10638633910069442,0.2068744054320915,0.25592074649386654,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
NRC Emotion Lexicon,negative,Negative emotion,COVID-to-climate,697,4,1,1814.8877078244484,-0.5154578789924513,2.1481986085586823e-09,0.29213597092556004,0.012248875060949198,0.4625641613613887,0.008509653624030855,697,4,1,1814.8877078244484,-0.5154578789924513,2.1481986085586823e-09,0.29213597092556004,0.012248875060949198,0.4625641613613887,0.008509653624030855,True,True,True,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
NRC Emotion Lexicon,negative,Negative emotion,climate-to-COVID,697,2,1,337.285848733174,-0.24392763633111592,8.49400049781074e-15,0.035020220544009294,0.013158601729096057,0.10785960084731024,0.07346852426720932,697,2,1,337.285848733174,-0.24392763633111592,8.49400049781074e-15,0.035020220544009294,0.013158601729096057,0.10785960084731024,0.07346852426720932,True,True,True,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
NRC Emotion Lexicon,positive,Positive emotion,COVID-to-climate,697,4,1,1756.9954572696063,-0.4382578794961449,2.156230077126931e-15,0.12884134364238692,0.31075390025982635,0.32215922153495585,0.2276140320798774,697,4,1,1756.9954572696063,-0.4382578794961449,2.156230077126931e-15,0.12884134364238692,0.31075390025982635,0.32215922153495585,0.2276140320798774,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
NRC Emotion Lexicon,positive,Positive emotion,climate-to-COVID,697,2,1,152.2249135195991,-0.24684714057809584,7.44193673526163e-08,0.01713861143496551,0.18771663498650412,0.05834969932134308,0.32293583078861443,697,2,1,152.2249135195991,-0.24684714057809584,7.44193673526163e-08,0.01713861143496551,0.18771663498650412,0.05834969932134308,0.32293583078861443,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
LIWC-22,emo_anger,Anger,COVID-to-climate,697,1,1,1997.51746966528,-0.8837356309095248,1.2757672090663517e-85,0.15169570796475434,0.11737194561472584,-0.0032768337078574834,0.9741357839534535,697,1,1,1997.51746966528,-0.8837356309095248,1.2757672090663517e-85,0.15169570796475434,0.11737194561472584,-0.0032768337078574834,0.9741357839534535,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
LIWC-22,emo_anger,Anger,climate-to-COVID,697,3,1,608.92851883549,-0.23132526943550694,0.008717271288485443,0.02054868336723242,0.12748700088993464,0.03855156198274015,0.6262159219331396,697,3,1,608.92851883549,-0.23132526943550694,0.008717271288485443,0.02054868336723242,0.12748700088993464,0.03855156198274015,0.6262159219331396,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
LIWC-22,emo_sad,Sadness,COVID-to-climate,697,1,1,2042.6056036897144,-1.007058238691514,6.584435736948755e-84,0.18373355245230186,0.09882909925236652,0.18364380098157243,0.10681461464222144,697,1,1,2042.6056036897144,-1.007058238691514,6.584435736948755e-84,0.18373355245230186,0.09882909925236652,0.18364380098157243,0.10681461464222144,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
LIWC-22,emo_sad,Sadness,climate-to-COVID,697,2,1,867.3095275561928,-0.5583546580868509,5.494199213512052e-19,0.03866971005431543,0.06362505598244404,0.112936963333618,0.006283314734910848,697,2,1,867.3095275561928,-0.5583546580868509,5.494199213512052e-19,0.03866971005431543,0.06362505598244404,0.112936963333618,0.006283314734910848,True,False,False,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
LIWC-22,emo_anx,Anxiety,COVID-to-climate,697,1,1,1957.380837138917,-0.8460427668529374,4.293917934314597e-68,0.25560730614511873,0.124515335637316,0.4955866254113423,0.0007817556291854586,697,1,1,1957.380837138917,-0.8460427668529374,4.293917934314597e-68,0.25560730614511873,0.124515335637316,0.4955866254113423,0.0007817556291854586,True,False,False,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
LIWC-22,emo_anx,Anxiety,climate-to-COVID,697,3,1,53.05905731381662,-0.26666260559247956,5.508862553041309e-09,0.01099372153036003,0.2705447750129332,0.058928608411740704,0.23110841100814927,697,3,1,53.05905731381662,-0.26666260559247956,5.508862553041309e-09,0.01099372153036003,0.2705447750129332,0.058928608411740704,0.23110841100814927,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
LIWC-22,emo_neg,Negative emotion,COVID-to-climate,697,1,1,2069.408636881648,-0.9200077245464766,2.2739802370455682e-73,0.10386016389198884,0.15750012630494667,0.12670832150480216,0.04586921043697903,697,1,1,2069.408636881648,-0.9200077245464766,2.2739802370455682e-73,0.10386016389198884,0.15750012630494667,0.12670832150480216,0.04586921043697903,True,False,False,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
LIWC-22,emo_neg,Negative emotion,climate-to-COVID,697,3,1,1148.3435475667525,-0.21837344574751016,3.6059292241328103e-09,0.023525104129480022,0.2350495020877192,0.17338366417605072,0.15607833051650788,697,3,1,1148.3435475667525,-0.21837344574751016,3.6059292241328103e-09,0.023525104129480022,0.2350495020877192,0.17338366417605072,0.15607833051650788,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
LIWC-22,emo_pos,Positive emotion,COVID-to-climate,697,1,1,2078.7595364493704,-0.8248284326516437,5.799316570933639e-45,0.006348738255662034,0.9772925130134327,-0.21671284879349673,0.31933887991456444,697,1,1,2078.7595364493704,-0.8248284326516437,5.799316570933639e-45,0.006348738255662034,0.9772925130134327,-0.21671284879349673,0.31933887991456444,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
LIWC-22,emo_pos,Positive emotion,climate-to-COVID,697,6,1,299.6020270527669,-0.19270023456376503,9.587421553822096e-07,0.0012531381930907396,0.9407853702643032,-0.006440896643639811,0.9536771421113527,697,6,1,299.6020270527669,-0.19270023456376503,9.587421553822096e-07,0.0012531381930907396,0.9407853702643032,-0.006440896643639811,0.9536771421113527,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
VADER,negative,Negative sentiment,COVID-to-climate,697,2,1,1801.049107357705,-0.5981779221889824,1.3001718882656236e-23,0.29179750498310314,0.0025826141407998882,0.2809201087204863,0.0004190710790697611,697,2,1,1801.049107357705,-0.5981779221889824,1.3001718882656236e-23,0.29179750498310314,0.0025826141407998882,0.2809201087204863,0.0004190710790697611,True,True,True,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
VADER,negative,Negative sentiment,climate-to-COVID,697,2,1,578.4041849661896,-0.180884103227607,1.9321754983386227e-05,0.05083692357603746,0.0035368758973361846,0.1941704771970833,0.11101099850311058,697,2,1,578.4041849661896,-0.180884103227607,1.9321754983386227e-05,0.05083692357603746,0.0035368758973361846,0.1941704771970833,0.11101099850311058,True,True,True,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
VADER,positive,Positive sentiment,COVID-to-climate,697,4,1,1853.0593729586824,-0.4857428260365318,2.6323319850307417e-08,0.07330018368289701,0.70565198755448,0.07180473125735402,0.8236516825334457,697,4,1,1853.0593729586824,-0.4857428260365318,2.6323319850307417e-08,0.07330018368289701,0.70565198755448,0.07180473125735402,0.8236516825334457,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
VADER,positive,Positive sentiment,climate-to-COVID,697,2,1,-252.49120124156815,-0.2299607900753809,2.1731561670366906e-11,0.0032165203139102676,0.760910890484347,-0.006486906937922416,0.8910744112555301,697,2,1,-252.49120124156815,-0.2299607900753809,2.1731561670366906e-11,0.0032165203139102676,0.760910890484347,-0.006486906937922416,0.8910744112555301,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
