break_date,measurement,metric,label,direction,n,selected_p_fixed,selected_q_fixed,baseline_short_run,baseline_short_p,short_run,short_run_hac_se,short_run_p_value,baseline_long_run,baseline_long_p,long_run,long_run_hac_se,long_run_p_value,short_run_same_sign,long_run_same_sign,break_level,break_level_p_value,break_slope,break_slope_p_value
2020-06-30,NRC Emotion Lexicon,anger,Anger,COVID-to-climate,705,2,1,0.143942433803322,0.0045356936069835,0.14277464306181764,0.05018458273250298,0.0045754715089912235,0.1322650323026268,0.0155466216678378,0.10216062326519225,0.055128805227444615,0.06386429853892288,True,True,-0.2071753857404717,0.20262924987814812,2.9475359984738216,0.20949297101216557
2020-06-30,NRC Emotion Lexicon,anger,Anger,climate-to-COVID,705,2,1,0.0717927999749304,0.0076891438139976,0.07333563646001519,0.027519877318015633,0.00788639654802576,0.1667854304931243,0.141258532752473,0.1809779581225558,0.1292486874700831,0.16144429634381274,True,True,-0.0996213018718892,0.43509236003501095,-1.675125146785897,0.506043687876385
2020-06-30,NRC Emotion Lexicon,sadness,Sadness,COVID-to-climate,705,2,1,0.1908989740396154,0.0210278318759058,0.19090525625475696,0.08124357104874382,0.01907030623063016,0.3142570680543641,0.0015310677904829,0.29273579380157855,0.09877545517778469,0.0030401469196766253,True,True,-0.061067630795510204,0.7034843565935669,2.490566365871514,0.3270582746719951
2020-06-30,NRC Emotion Lexicon,sadness,Sadness,climate-to-COVID,705,3,1,0.0627921080202996,0.0401597534509432,0.06414904149440491,0.03045337387704303,0.03553174408958849,0.3485664214833517,0.0010823419747386,0.3734457284775916,0.12424978028195915,0.002650532933091433,True,True,0.03827618227278456,0.6724770738511943,-1.0010145544567126,0.5857747568661651
2020-06-30,NRC Emotion Lexicon,fear,Fear,COVID-to-climate,705,4,1,0.276586648456504,0.0336851328720094,0.2712828077942913,0.12913883336376267,0.03603705359296439,0.289434130727645,0.0408536359858721,0.24126551117796538,0.1499279374290038,0.1075704670001975,True,True,-0.30064218450281177,0.03192475179978373,0.10212681384895558,0.9562857897844368
2020-06-30,NRC Emotion Lexicon,fear,Fear,climate-to-COVID,705,2,1,0.0245285800139507,0.0307580014434284,0.02432159223752923,0.011414132580028572,0.03346275987978471,0.0556229435509943,0.3608395440374903,0.051004529621702877,0.06397726887123169,0.425318087022453,True,True,0.008443648898510603,0.8781254023982918,0.4044065231528409,0.7290485563510527
2020-06-30,NRC Emotion Lexicon,disgust,Disgust,COVID-to-climate,705,1,1,0.2702185536873406,0.0025810316582823,0.2404575246933405,0.09010808386384107,0.00780020906246933,0.375340037206567,0.0002300874412292,0.26902159864996683,0.08612558222615892,0.0017865504881675283,True,True,-0.09709832959439854,0.5998060525021456,7.716042750278483,0.006425530328017973
2020-06-30,NRC Emotion Lexicon,disgust,Disgust,climate-to-COVID,705,3,1,0.040880910632985,0.0234946236222084,0.03984899816690329,0.018750739484060013,0.033932312123803356,0.149243303808087,0.0233274295220392,0.1379689602352277,0.07683775397267617,0.07256004245604435,True,True,-0.006087210662317951,0.9332795366718842,0.367339386970078,0.7101032687128555
2020-06-30,NRC Emotion Lexicon,joy,Joy,COVID-to-climate,705,2,1,0.1848678839098007,0.2206879443094558,0.1566237740052805,0.1526710348327222,0.3053095792914887,0.051212235173178,0.8197108745870858,-0.04031725508798448,0.265131604362953,0.8791356165104769,True,False,0.23507283573453236,0.2052705966380599,-0.409178178673893,0.8485839750922369
2020-06-30,NRC Emotion Lexicon,joy,Joy,climate-to-COVID,705,3,1,0.0082044227956615,0.3521857669616435,0.007244948515880349,0.00867072052731159,0.403695022748775,0.0347114415532572,0.5068411246090452,0.021581516286641757,0.03866909324848518,0.5767708854504303,True,True,0.10010886013921629,0.03192025680542383,-1.724598207372113,6.543265357182683e-05
2020-06-30,NRC Emotion Lexicon,anticipation,Anticipation,COVID-to-climate,705,4,1,0.1872242320038947,0.0863060161430914,0.19990179052307297,0.11295364672788315,0.07721714453218327,0.0784662244593464,0.6620592162210761,0.13558258210023236,0.20857006640793424,0.51565493754318,True,True,0.056407468242983504,0.7565987576335613,2.0601080743131326,0.5383676688100962
2020-06-30,NRC Emotion Lexicon,anticipation,Anticipation,climate-to-COVID,705,2,1,0.0204857404415916,0.13567673376856,0.022979998335137492,0.01381490849494234,0.09669114901850383,0.0674984894872576,0.3238192404262277,0.08453723349046802,0.060792897917431574,0.16435359570046382,True,True,0.07760026685400116,0.261612972613864,-1.8534215639509042,0.0035852617510039207
2020-06-30,NRC Emotion Lexicon,trust,Trust,COVID-to-climate,705,4,1,0.1553403231014229,0.0359049261266286,0.17718549330630298,0.07820358778975683,0.023786000945801945,0.2352676895668461,0.1927095742171913,0.3013722968670261,0.18396497210606297,0.10137898260130722,True,True,-0.12356801427787323,0.32504084961066937,-3.8135115062449723,0.018973671730280164
2020-06-30,NRC Emotion Lexicon,trust,Trust,climate-to-COVID,705,3,1,0.045486317582482,0.0363048437435109,0.051777370187011805,0.02260403335994876,0.02229206439796369,0.1525344213951514,0.0805345699252981,0.1746746713214555,0.08047785009138166,0.029971341632555257,True,True,-0.024915385513955113,0.7207190221772195,2.844778532397076,0.0018214179441419602
2020-06-30,NRC Emotion Lexicon,surprise,Surprise,COVID-to-climate,705,2,1,0.1200625917270647,0.0889167639396214,0.14105061720997153,0.07258186344509394,0.05239022824337602,0.217879123434271,0.0139484008599095,0.2628499097716901,0.0929791258879423,0.004698960900455002,True,True,-0.02510404492042613,0.8698710787313406,4.836978264369843,0.059374069376641796
2020-06-30,NRC Emotion Lexicon,surprise,Surprise,climate-to-COVID,705,2,1,0.06464721990037,0.1095458666216173,0.07732298279551701,0.040829205387407,0.05867555634406966,0.2104327456811735,0.1989408746753102,0.26303698500159156,0.14474714006699052,0.06918387034108588,True,True,0.2001176684791386,0.04611400231432618,-5.006492996456818,0.00040356610429486187
2020-06-30,NRC Emotion Lexicon,negative,Negative emotion,COVID-to-climate,705,4,1,0.317554258363616,0.0056709824835883,0.3167201721927377,0.1138008136357464,0.005534643196869362,0.4119575727133056,0.0085119010249999,0.36278714255719857,0.16143389260960841,0.024622144415003166,True,True,-0.08409760352717566,0.6461150424281116,2.2475527836565434,0.33803252034428655
2020-06-30,NRC Emotion Lexicon,negative,Negative emotion,climate-to-COVID,705,2,1,0.03946979715396,0.0051039956352692,0.040137500320337895,0.014093110426853662,0.0045326151979518435,0.1132265488804916,0.0418156048403023,0.12008094331851912,0.0609394562527628,0.048781574517300745,True,True,0.05009290477604566,0.4302012335627319,-0.09752868113893799,0.9298583477759026
2020-06-30,NRC Emotion Lexicon,positive,Positive emotion,COVID-to-climate,705,4,1,0.1279373353785231,0.2665107658964435,0.13274268985002374,0.11476354949799154,0.24781947301411802,0.3317019121120612,0.2086765046259252,0.3209722953857892,0.26006175204759463,0.21712254146115428,True,True,0.03989132752912117,0.7976089021089111,-2.9842693771625983,0.1534520622723758
2020-06-30,NRC Emotion Lexicon,positive,Positive emotion,climate-to-COVID,705,2,1,0.0186067273009892,0.1542675312076257,0.019448352812010978,0.013057973338318169,0.13685164360994853,0.0627006331046249,0.2863014873005786,0.06750492903802469,0.0587444203361881,0.2505027074246423,True,True,0.06853568955133685,0.09662108232728317,0.7827916534476761,0.07367460341592925
2020-06-30,LIWC-22,emo_anger,Anger,COVID-to-climate,705,1,1,0.1727155319875535,0.0692725337527371,0.14408722010887004,0.09701816374706457,0.13796698358316967,0.0392291581988153,0.7317487718547744,-0.02547300779784154,0.12338339312260208,0.8364362126042382,True,False,-0.528888955709783,0.01534208759453077,-2.988915648088181,0.22407442539960112
2020-06-30,LIWC-22,emo_anger,Anger,climate-to-COVID,705,4,1,0.023355996576556,0.088002756150989,0.021004604566420528,0.013950003523236798,0.13261044593364235,0.056224983238639,0.5271870885287441,0.03212354351722812,0.09021306301131503,0.7217767029317844,True,True,-0.09297914661403503,0.15138982022678646,-2.5017185657959744,0.056029166695672546
