panel,model_id,measurement_system,outcome_label,outcome_column,focal_predictor,term,is_focal_term,estimate,standard_error,t_statistic,pvalue,ci95_low,ci95_high,significance,n,df_resid,r_squared,adjusted_r_squared,outcome_scale,predictor_scale,inference
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,weekday_6,False,-0.1482288372,0.02855416258,-5.19114636,2.748257439e-07,-0.2042917405,-0.09216593383,***,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,const,False,7.609866473,0.05673242389,134.1361069,0,7.498478707,7.72125424,***,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,US_daily_covid_death,True,-0.04025882878,0.01061088563,-3.794106373,0.0001611072346,-0.06109211547,-0.0194255421,***,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,debates,False,0.1033017879,0.0684964177,1.508134168,0.1319752689,-0.0311832642,0.2377868401,,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,climatenews,False,0.0001991774342,1.709853265e-05,11.64880275,9.083319867e-29,0.0001656063785,0.0002327484899,***,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,WinterStorm,False,0.3616938069,0.06534418337,5.535210453,4.410522294e-08,0.2333978141,0.4899897996,***,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,Wildfire,False,0.1430080263,0.02081752009,6.869599534,1.433172165e-11,0.1021351549,0.1838808977,***,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,TropicalCyclone,False,0.1048757522,0.03601971122,2.911621127,0.003710924307,0.03415507941,0.1755964249,**,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,SevereStorm,False,0.08197119261,0.02848336013,2.877862452,0.004126851889,0.02604730199,0.1378950832,**,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,Flood,False,0.09184358548,0.07264005677,1.264365552,0.2065233076,-0.05077703833,0.2344642093,,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,Drought,False,0.08436637205,0.02918855664,2.89039205,0.003967769884,0.02705790698,0.1416748371,**,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,GovernmentResponseIndex_Average,False,-0.005561026919,0.001630221085,-3.411210277,0.0006842386927,-0.008761783616,-0.002360270223,***,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,weekday_1,False,0.0465184492,0.02827716662,1.645088768,0.1004043251,-0.009000603551,0.1020375019,,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,weekday_2,False,0.0677321654,0.02824119371,2.398346405,0.01673231246,0.01228374144,0.1231805894,*,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,weekday_3,False,0.05381722011,0.02840611068,1.894564896,0.05856551685,-0.001954999863,0.1095894401,,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,weekday_4,False,-0.007570319311,0.02845919607,-0.2660060844,0.7903135284,-0.06344676652,0.0483061279,,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,weekday_5,False,-0.1590187833,0.0284347909,-5.592402063,3.22235638e-08,-0.2148473137,-0.1031902529,***,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
Figure 1b,B2,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_death,weekday_6,False,-0.1358330341,0.02845222483,-4.774074258,2.202908732e-06,-0.1916957941,-0.07997027419,***,711,694,0.6365750757,0.6281964031,log(1 + daily climate-only comments),log(1 + covid-19 deaths),Conventional OLS; exact two-sided p values
